"Archive Date","Associated Streets","Collection Date","Data Type","Intersection Number","Neighborhood Code","Original File Name","Site Location","Street Name","Study Period","Study Type"
"01/15/2014 07:00:00 PM","ALBANY ST CONNECTOR, FRONTAGE RD","07-30-2013","","3113","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_3113_ALBANY ST CONNECTOR, FRONTAGE RD_BP_12HR_TMC_07302013.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","PUMPHOUSE RD, SUMMER ST","12-03-2008","","3126","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_3126_PUMPHOUSE RD, SUMMER ST_SB_11HR_TMC_12032008.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","PUMPHOUSE RD, SUMMER ST","07-25-2013","","3126","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_3126_PUMPHOUSE RD, SUMMER ST_SB_12HR_TMC_07252013.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","D ST, MBTA SILVER LINE TRANSITWAY","12-02-2008","","3129","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_3129_D ST, MBTA SILVER LINE TRANSITWAY_SB_11HR_TMC_12022008.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","D ST, MBTA SILVER LINE TRANSITWAY","07-25-2013","","3129","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_3129_D ST, MBTA SILVER LINE TRANSITWAY_SB_12HR_TMC_07252013.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","BOYLSTON ST, RING RD","05-30-2007","","3131","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_3131_BOYLSTON ST, RING RD_BP_12HR_TMC_05302007.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","DUNSTABLE ST, MAIN ST, SULLIVAN ST","09-22-2009","","3134","CHARLESTOWN","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_3134_DUNSTABLE ST, MAIN ST, SULLIVAN ST_CH_11HR_TMC_09222009.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","CUMBERLAND ST, HUNTINGTON AVE (S RDWY)","05-30-2007","","4001","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4001_CUMBERLAND ST, HUNTINGTON AVE (S RDWY)_BP_12HR_TMC_05302007.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","HARCOURT ST, HUNTINGTON AVE, RING RD","05-30-2007","","4002","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4002_HARCOURT ST, HUNTINGTON AVE, RING RD_BP_12HR_TMC_05302007.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","COMMONWEALTH AVE (S. RDWY), HEREFORD ST","06-05-2007","","4005","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4005_COMMONWEALTH AVE (S RDWY), HEREFORD ST_BP_12HR_TMC_06052007.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","COMMONWEALTH AVE (S RDWY), GLOUCESTER ST","05-31-2007","","4007","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4007_COMMONWEALTH AVE (S RDWY), GLOUCESTER ST_BP_12HR_TMC_05312007.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","COMMONWEALTH AVE (S RDWY), FAIRFIELD ST","06-05-2007","","4009","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4009_COMMONWEALTH AVE (S RDWY), FAIRFIELD ST_BP_12HR_TMC_06052007.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","HUNTINGTON AVE (S RDWY), OPERA PL","05-10-2011","","4020","ROXBURY","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4020_HUNTINGTON AVE (S RDWY), OPERA PL_RX_11HR_TMC_05102011.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","CONGRESS ST, HANOVER ST","03-18-2009","","4035","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4035_CONGRESS ST, HANOVER ST_BP_11HR_TMC_03182009.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","CONGRESS ST, EAST SERVICE RD, RAMP CL","12-02-2008","","4056","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4056_CONGRESS ST, EAST SERVICE RD, RAMP CL_SB_11HR_TMC_12022008.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","CONGRESS ST, EAST SERVICE RD, RAMP CL","07-25-2013","","4056","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4056_CONGRESS ST, EAST SERVICE RD, RAMP CL_SB_12HR_TMC_07252013.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","CONGRESS ST, BOSTON WHARF RD, WEST SERVICE RD","12-02-2008","","4057","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4057_CONGRESS ST, BOSTON WHARF RD, WEST SERVICE RD_SB_11HR_TMC_12022008.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","CONGRESS ST, BOSTON WHARF RD, WEST SERVICE RD","07-25-2013","","4057","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4057_CONGRESS ST, BOSTON WHARF RD, WEST SERVICE RD_SB_12HR_TMC_07252013.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","B ST, CONGRESS ST, RAMPS D & F","12-02-2008","","4058","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4058_B ST, CONGRESS ST, RAMPS D & F_SB_11HR_TMC_12022008.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","B ST, CONGRESS ST, RAMPS D & F","07-25-2013","","4058","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4058_B ST, CONGRESS ST, RAMPS D & F_SB_12HR_TMC_07252013.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","D ST, FARGO ST","11-02-2011","","4062","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4062_D ST, FARGO ST_SB_4HR_TMC_11022011.PDF","","","4 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","BROOKLINE AVE, FULLERTON ST, KILMARNOCK ST","04-14-2011","","4077","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4077_BROOKLINE AVE, FULLERTON ST, KILMARNOCK ST_BP_11HR_TMC_04142011.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
