#,Zone Name,January ,February ,March ,April ,May ,June ,July,August,September,October,November,December,GT by Zone
640,East Museum between Huntington and Fenway,0,0,0,30,153,225,71,,,,,,479
452,West Berkeley between St James and Providence,0,0,0,83,137,177,77,,,,,,474
445,South Stuart between Berkeley and Columbus,0,0,0,38,142,181,110,,,,,,471
467,North Marlborough between Berkeley and Arling,0,0,0,109,127,170,64,,,,,,470
600,North Huntington between Mass and Gainsboroug,0,0,0,26,141,209,91,,,,,,467
584,South Belvidere between Dalton and St Cecilia,0,0,1,73,130,191,69,,,,,,464
529,West Exeter between Beacon and Marlborough,0,0,2,53,124,206,77,,,,,,462
620,North St Botolph between Mass and Gainsboroug,0,0,0,37,118,245,61,,,,,,461
920,East Clarendon between Boylston and St James,0,0,0,0,174,167,119,,,,,,460
536,West Fairfield between Marlborough and Comm,0,0,1,74,131,175,78,,,,,,459
619,South St Botolph between Gainsborough and Mas,0,0,0,31,114,248,65,,,,,,458
812,West Granby between Bay State and Comm,0,0,0,27,162,220,40,,,,,,449
592,South W Newton between St Botolph and Park,0,0,0,78,107,177,79,,,,,,441
532,East Exeter between Marlborough and Comm,0,0,1,58,123,179,69,,,,,,430
533,East Fairfield between Comm and Marlborough,0,0,2,70,120,155,81,,,,,,428
813,East Granby between Comm and Bay State,0,0,0,72,110,178,63,,,,,,423
623,South Huntington between Gainsborough and Mas,0,0,0,28,106,206,82,,,,,,422
512,East Fairfield between Newbury and Comm,0,0,1,86,143,123,66,,,,,,419
515,East Gloucester between Newbury and Comm,0,0,2,141,112,123,40,,,,,,418
601,East Gainsborough between Huntington and St S,0,0,0,21,119,190,88,,,,,,418
602,West Gainsborough between St Stephen and Hunt,0,0,0,20,133,194,71,,,,,,418
910,North Boylston between Gloucester and Fairfie,0,0,0,51,121,183,61,,,,,,416
444,South Stuart between Clarendon and Berkeley,0,0,0,42,123,184,62,,,,,,411
531,East Exeter between Comm and Marlborough,0,0,1,75,114,174,47,,,,,,411
782,South Bay State between Beacon and Raleigh,0,0,0,24,112,196,75,,,,,,407
667,South Boylston between Park Dr and Kilmarnock,0,0,0,72,114,156,63,,,,,,405
635,South Evans between Tetlow and Louis Prang,0,0,0,3,132,179,89,,,,,,403
669,South Boylston between Jersey and Park Dr,0,0,0,49,125,177,52,,,,,,403
594,West St Botolph between Harcourt and Garrison,0,0,0,32,109,190,68,,,,,,399
530,West Exeter between Marlborough and Comm,0,0,1,60,105,173,58,,,,,,397
905,East Hereford between Boylston and Newbury,0,0,0,63,106,148,78,,,,,,395
470,East Berkeley between Marlborough and Beacon,0,0,2,78,139,132,43,,,,,,394
895,North Newbury between Exeter and Fairfield,0,0,0,66,135,127,65,,,,,,393
615,South Huntington between Forsyth and Gainsbor,0,0,0,27,112,191,61,,,,,,391
575,South Hemenway between Westland and Burbank,0,0,0,22,118,174,73,,,,,,387
439,East Trinity between Garage and Stuart,0,0,0,37,114,173,62,,,,,,386
650,South Huntington between Longwood and Francis,0,0,0,18,89,198,79,,,,,,384
562,North Boylston between Mass and Ipswich,0,0,0,60,96,188,39,,,,,,383
461,West Arlington between Marlborough and Comm,8,16,39,81,97,89,48,,,,,,378
556,West Massachusetts between Comm and Newbury,0,0,0,122,94,109,47,,,,,,372
221,West Av De Lafayette between Kingston and Cha,0,0,0,0,0,275,96,,,,,,371
588,South Cumberland between Huntington and St Bo,0,0,0,39,90,183,56,,,,,,368
644,South Forsyth between Huntington and Fenway,0,0,0,39,94,176,57,,,,,,366
695,East Beacon between Miner and Munson,0,0,0,40,106,151,69,,,,,,366
477,North Charles between Cambridge and Revere,0,0,0,0,359,1,3,,,,,,363
18,East Fairfield between Boylston and Newbury,0,0,0,227,63,48,8,,,,,,346
541,East Gloucester between Marlborough and Beaco,0,0,2,65,96,134,49,,,,,,346
535,West Fairfield between Beacon and Marlborough,0,0,0,43,108,126,66,,,,,,343
825,South Commonwealth between Brookline and Kenm,0,0,0,40,98,148,57,,,,,,343
624,West Forsyth between Fenway and Huntington,0,0,0,0,103,158,80,,,,,,341
534,East Fairfield between Marlborough and Beacon,0,0,3,40,125,128,44,,,,,,340
704,West Brookline between Burlington and Fullert,0,0,0,265,18,38,15,,,,,,336
637,West Museum between Fenway and Tetlow,0,0,0,41,79,154,57,,,,,,331
331,West Columbus between Arlington and Berkeley,0,0,0,0,0,227,102,,,,,,329
568,East Edgerly between Norway and Burbank,0,0,0,25,83,140,81,,,,,,329
589,North Cumberland between St Botolph and Hunti,0,0,0,24,93,148,61,,,,,,326
129,North Cambridge between Somerset and Beacon,0,0,0,0,0,210,113,,,,,,323
437,West Stuart between Dartmouth and Trinity,0,0,0,1,1,321,0,,,,,,323
783,West Raleigh between Bay State and Beacon,0,0,0,12,107,122,71,,,,,,312
606,East Opera between Huntington and St Stephe,0,0,0,6,83,143,75,,,,,,307
693,West Beacon between Park and Aberdeen,0,0,0,30,83,134,59,,,,,,306
579,South Cambria between Mass and St Cecilia,0,0,0,49,93,123,39,,,,,,304
621,East Gainsborough between St Botolph and Hunt,0,0,0,11,62,182,48,,,,,,303
689,West Beacon between Park and St Marys,0,0,0,0,84,136,80,,,,,,300
138,South Milk between Pearl and Oliver,0,0,0,0,0,180,117,,,,,,297
135,West Devonshire between Franklin and Milk,0,0,0,0,0,182,113,,,,,,295
524,East Dartmouth between Comm and Marlborough,0,0,1,93,112,55,31,,,,,,292
902,South Newbury between Fairfield and Glouceste,0,0,0,31,71,137,50,,,,,,289
811,West Granby between Back and Bay State,0,0,0,137,49,69,33,,,,,,288
586,North Belvidere between Dalton and Huntington,0,0,0,28,89,117,52,,,,,,286
271,South Harrison between Kneeland and Nassau,0,0,0,0,0,271,14,,,,,,285
203,West Oliver between Franklin and Milk,0,0,0,0,0,184,100,,,,,,284
634,South Evans between Tetlow and Louis Prang,0,0,0,183,18,56,23,,,,,,280
699,West Brookline between Comm and Overland,0,0,0,21,90,122,46,,,,,,279
629,North Evans between Fenway and Tetlow,0,0,0,26,88,102,58,,,,,,274
335,North Columbus between Berkeley and Cahners,0,0,0,0,0,161,109,,,,,,270
183,North Pearl between Franklin and High,0,0,0,0,0,167,102,,,,,,269
595,North Garrison between St Botolph and Hunting,0,0,1,43,74,96,52,,,,,,266
810,East Granby between Bay State and Back,0,0,0,94,67,84,18,,,,,,263
126,South New Chardon between Merrimac and Cambri,0,0,0,0,0,168,92,,,,,,260
327,West Berkeley between Chandler and Columbus,0,0,0,0,0,168,80,,,,,,248
596,South Garrison between Huntington and St Boto,0,0,0,26,61,105,48,,,,,,240
593,North Harcourt between End and St Botolph,0,0,0,42,61,93,43,,,,,,239
303,East Tremont between Oak St West and Stuart,0,0,0,0,0,159,79,,,,,,238
824,South Commonwealth between Brookline and Kenm,0,0,0,24,62,100,51,,,,,,237
540,North Marlborough between Hereford and Glouce,0,0,0,30,68,95,43,,,,,,236
642,North Hemenway between Forsyth and Forsyth,0,0,0,40,60,101,33,,,,,,234
256,South Surface between Essex and Beach,0,0,0,0,0,138,95,,,,,,233
582,North Belvidere between St Cecilia and Mass,0,0,0,40,53,87,46,,,,,,226
587,East Huntington between Mass and Cumberland,0,0,0,41,41,111,32,,,,,,225
248,West South between East and Beach,0,0,0,0,0,138,86,,,,,,224
329,South Columbus between Isabella and Arlington,0,0,0,0,0,164,60,,,,,,224
599,East St Botolph between Cumberland and Mass,0,0,0,23,62,100,35,,,,,,220
636,South Evans between Tetlow and Louis Prang,0,0,0,94,37,64,23,,,,,,218
447,North Stuart between Arlington and Berkeley,0,0,0,19,78,88,30,,,,,,215
700,North Overland between Brookline and End,0,0,0,91,54,54,16,,,,,,215
567,West Edgerly between Westland and Hemenway,0,0,0,27,65,69,50,,,,,,211
150,West India between Surface and Milk,0,0,0,0,0,116,94,,,,,,210
821,North Commonwealth between Hinsdale and Bland,0,0,0,31,174,5,0,,,,,,210
324,East Berkeley between Chandler and Cortes,0,0,0,0,0,136,72,,,,,,208
434,South Blagden between Huntington and Exeter,0,0,0,9,75,45,79,,,,,,208
702,West Brookline between Overland and Burlingto,0,0,0,26,53,97,30,,,,,,206
617,East Gainsborough between Dead End and St Bot,0,0,0,8,34,124,38,,,,,,204
806,West Silber between Back and Bay State,0,0,0,0,36,131,37,,,,,,204
235,West Lincoln between Kneeland and Beach,0,0,0,0,0,135,68,,,,,,203
787,North Commonwealth between Raleigh and Deerfi,0,0,0,14,62,85,42,,,,,,203
188,South High between Oliver and Surface,0,0,0,0,0,120,82,,,,,,202
809,North Bay State between Silber and Granby,0,0,0,197,0,2,1,,,,,,200
431,East Exeter between Huntington and Boylston,0,0,0,37,45,87,30,,,,,,199
184,North Pearl between High and Surface,0,0,0,0,0,128,68,,,,,,196
608,West Opera between St Stephen and Huntingto,0,0,0,4,50,101,38,,,,,,193
485,North Charles between Mt Vernon and Pinckney,0,0,0,0,0,83,109,,,,,,192
804,West Silber between Bay State and Back,0,0,0,1,27,127,37,,,,,,192
164,West Water between Broad and Batterymarch,0,0,0,0,0,107,83,,,,,,190
128,West Cambridge between Bowdoin and Somerset,0,0,0,0,0,124,65,,,,,,189
132,East Union between Hanover and North,0,0,0,0,0,115,74,,,,,,189
435,East Dartmouth between Huntington and St Jame,0,0,0,9,40,124,15,,,,,,188
685,West Beacon between Mountfort and Arundel,0,0,0,0,39,114,35,,,,,,188
159,North Milk between India and Broad,0,0,0,0,0,123,64,,,,,,187
147,West Milk between Broad and India,0,0,0,0,0,127,54,,,,,,181
565,West Massachusetts between Boylston and Havil,0,0,1,28,49,80,23,,,,,,181
687,West Beacon between Arundel and Park,0,0,0,0,31,100,50,,,,,,181
57,North Bowdoin between Ashburton and Cambridge,0,0,0,0,0,84,95,,,,,,179
206,West Oliver between High and Franklin,0,0,0,0,0,113,65,,,,,,178
227,West Kingston between Summer and Bedford,0,0,0,0,0,105,73,,,,,,178
681,North Brookline between Kilmarnock and Yawkey,0,0,0,16,60,75,27,,,,,,178
932,South Congress between Dorchester and Atlanti,0,0,0,0,0,110,68,,,,,,178
696,East Beacon between Munson and Maitland,0,0,0,15,43,93,24,,,,,,175
241,West South between Kneeland and Beach,0,0,0,0,0,119,55,,,,,,174
265,West Washington between Stuart and Oak,0,0,0,0,0,133,37,,,,,,170
799,West Raleigh between Bay State and Back,0,0,0,10,38,94,21,,,,,,163
581,North St Cecilia between Cambria and Belvider,0,0,0,41,47,55,18,,,,,,161
484,North Charles between Chestnut and Mt Vernon,0,0,0,0,0,67,89,,,,,,156
486,North Charles between Pinckney and Revere,0,0,0,0,0,78,77,,,,,,155
191,North High between Surface and Batterymarch,0,0,0,0,0,102,50,,,,,,152
186,East High between Pearl and Oliver,0,0,0,0,0,95,55,,,,,,150
213,East Pearl between Franklin and Milk,0,0,0,0,0,87,62,,,,,,149
645,East Tremont between St Alphonsus and Worthin,0,0,0,0,32,70,46,,,,,,148
929,West Stuart at Statler Park Area,0,0,0,0,0,93,55,,,,,,148
240,East Lincoln between Beach and Kneeland,0,0,0,0,0,93,54,,,,,,147
330,North Columbus between Arlington and Berkeley,0,0,0,0,0,96,50,,,,,,146
796,East Deerfield between Back and Bay State,0,0,0,15,36,80,15,,,,,,146
332,East Berkeley between Columbus and Stuart,0,0,0,0,0,103,42,,,,,,145
55,South Bowdoin between Cambridge and Derne,0,0,0,0,0,66,78,,,,,,144
230,North Bedford between Kingston and Chauncy,0,0,0,0,0,90,54,,,,,,144
500,East Beacon between Charles and Spruce,0,0,0,0,0,74,69,,,,,,143
151,South Milk between India and Surface,0,0,0,0,0,96,45,,,,,,141
647,South Huntington between Tremont and Wigglesw,0,0,0,5,21,90,25,,,,,,141
214,East Hudson between Kneeland and Beach,0,0,0,0,0,82,58,,,,,,140
487,North Charles between Revere and Cambridge,0,0,0,0,0,77,63,,,,,,140
280,North Harrison between Oak and Harvard,0,0,0,0,0,77,62,,,,,,139
334,West Berkeley between Stanhope and Columbus,0,0,0,0,0,79,60,,,,,,139
663,West Brookline between Deaconess and Francis,0,0,0,15,29,73,22,,,,,,139
488,South Charles between Cambridge and Revere,0,0,0,0,0,62,75,,,,,,137
220,South Kingston between Essex and Edinboro,0,0,0,0,0,102,33,,,,,,135
318,South Stuart between Church and Arlington,0,0,0,0,0,83,51,,,,,,134
931,West Columbus at Statler Park Area,0,0,0,0,0,77,57,,,,,,134
4,East Atlantic between Rowe's Wharf and East I,0,0,0,0,0,88,44,,,,,,132
122,East Cambridge between Sudbury and NW Chardon,0,0,0,0,0,78,54,,,,,,132
197,South Franklin between Broad and Batterymarch,0,0,0,0,0,91,41,,,,,,132
296,West Warrenton between Charles S and Stuart,0,0,0,0,0,45,87,,,,,,132
3,East Atlantic between Comm. Wf and Battery Wf,16,0,0,0,0,28,86,,,,,,130
497,South Charles between Mt Vernon and Chestnut,0,0,0,0,0,65,65,,,,,,130
