Day Index,Pageviews
06/18/2014 12:00:00 AM,2333
06/19/2014 12:00:00 AM,2366
06/20/2014 12:00:00 AM,2209
06/21/2014 12:00:00 AM,1042
06/22/2014 12:00:00 AM,1032
06/23/2014 12:00:00 AM,2562
06/24/2014 12:00:00 AM,2442
06/25/2014 12:00:00 AM,2377
06/26/2014 12:00:00 AM,2482
06/27/2014 12:00:00 AM,2290
06/28/2014 12:00:00 AM,912
06/29/2014 12:00:00 AM,1094
06/30/2014 12:00:00 AM,2798
07/01/2014 12:00:00 AM,2429
07/02/2014 12:00:00 AM,2453
07/03/2014 12:00:00 AM,1946
07/04/2014 12:00:00 AM,934
07/05/2014 12:00:00 AM,814
07/06/2014 12:00:00 AM,1054
07/07/2014 12:00:00 AM,2714
07/08/2014 12:00:00 AM,2522
07/09/2014 12:00:00 AM,2353
07/10/2014 12:00:00 AM,2345
07/11/2014 12:00:00 AM,2112
07/12/2014 12:00:00 AM,1019
07/13/2014 12:00:00 AM,953
07/14/2014 12:00:00 AM,2490
07/15/2014 12:00:00 AM,2486
07/16/2014 12:00:00 AM,2358
07/17/2014 12:00:00 AM,2213
07/18/2014 12:00:00 AM,2231
07/19/2014 12:00:00 AM,1085
07/20/2014 12:00:00 AM,1184
07/21/2014 12:00:00 AM,2724
07/22/2014 12:00:00 AM,2435
07/23/2014 12:00:00 AM,2262
07/24/2014 12:00:00 AM,2293
07/25/2014 12:00:00 AM,2155
07/26/2014 12:00:00 AM,979
07/27/2014 12:00:00 AM,1226
07/28/2014 12:00:00 AM,2596
07/29/2014 12:00:00 AM,2492
07/30/2014 12:00:00 AM,2221
07/31/2014 12:00:00 AM,2387
08/01/2014 12:00:00 AM,2321
08/02/2014 12:00:00 AM,1200
08/03/2014 12:00:00 AM,1228
08/04/2014 12:00:00 AM,2565
08/05/2014 12:00:00 AM,2453
08/06/2014 12:00:00 AM,2244
08/07/2014 12:00:00 AM,2347
08/08/2014 12:00:00 AM,2117
08/09/2014 12:00:00 AM,1019
08/10/2014 12:00:00 AM,1049
08/11/2014 12:00:00 AM,2634
08/12/2014 12:00:00 AM,2352
08/13/2014 12:00:00 AM,2381
08/14/2014 12:00:00 AM,2343
08/15/2014 12:00:00 AM,2412
08/16/2014 12:00:00 AM,1021
08/17/2014 12:00:00 AM,1174
08/18/2014 12:00:00 AM,2634
08/19/2014 12:00:00 AM,2629
08/20/2014 12:00:00 AM,2318
08/21/2014 12:00:00 AM,2342
08/22/2014 12:00:00 AM,2185
08/23/2014 12:00:00 AM,1061
08/24/2014 12:00:00 AM,1100
08/25/2014 12:00:00 AM,2526
08/26/2014 12:00:00 AM,2387
08/27/2014 12:00:00 AM,2304
08/28/2014 12:00:00 AM,2295
08/29/2014 12:00:00 AM,2316
08/30/2014 12:00:00 AM,957
08/31/2014 12:00:00 AM,840
09/01/2014 12:00:00 AM,1358
09/02/2014 12:00:00 AM,2636
09/03/2014 12:00:00 AM,2597
09/04/2014 12:00:00 AM,2583
09/05/2014 12:00:00 AM,2286
09/06/2014 12:00:00 AM,1132
09/07/2014 12:00:00 AM,1274
09/08/2014 12:00:00 AM,2889
09/09/2014 12:00:00 AM,2490
09/10/2014 12:00:00 AM,2489
09/11/2014 12:00:00 AM,2384
09/12/2014 12:00:00 AM,2339
09/13/2014 12:00:00 AM,1215
09/14/2014 12:00:00 AM,1424
09/15/2014 12:00:00 AM,2937
09/16/2014 12:00:00 AM,2574
09/17/2014 12:00:00 AM,2602
09/18/2014 12:00:00 AM,2453
09/19/2014 12:00:00 AM,2329
09/20/2014 12:00:00 AM,1082
09/21/2014 12:00:00 AM,1257
09/22/2014 12:00:00 AM,2767
09/23/2014 12:00:00 AM,2406
09/24/2014 12:00:00 AM,2328
09/25/2014 12:00:00 AM,2349
09/26/2014 12:00:00 AM,2280
09/27/2014 12:00:00 AM,1045
09/28/2014 12:00:00 AM,1304
09/29/2014 12:00:00 AM,2835
09/30/2014 12:00:00 AM,2502
10/01/2014 12:00:00 AM,2486
10/02/2014 12:00:00 AM,2468
10/03/2014 12:00:00 AM,2320
10/04/2014 12:00:00 AM,1245
10/05/2014 12:00:00 AM,1288
10/06/2014 12:00:00 AM,2764
10/07/2014 12:00:00 AM,2537
10/08/2014 12:00:00 AM,2356
10/09/2014 12:00:00 AM,2288
10/10/2014 12:00:00 AM,2146
10/11/2014 12:00:00 AM,1090
10/12/2014 12:00:00 AM,997
10/13/2014 12:00:00 AM,1930
10/14/2014 12:00:00 AM,2439
10/15/2014 12:00:00 AM,2521
10/16/2014 12:00:00 AM,2388
10/17/2014 12:00:00 AM,2287
10/18/2014 12:00:00 AM,1128
10/19/2014 12:00:00 AM,1287
10/20/2014 12:00:00 AM,2766
10/21/2014 12:00:00 AM,3518
10/22/2014 12:00:00 AM,2359
10/23/2014 12:00:00 AM,2306
10/24/2014 12:00:00 AM,2161
10/25/2014 12:00:00 AM,1172
10/26/2014 12:00:00 AM,1256
10/27/2014 12:00:00 AM,2720
10/28/2014 12:00:00 AM,2465
10/29/2014 12:00:00 AM,2257
10/30/2014 12:00:00 AM,2263
10/31/2014 12:00:00 AM,2166
11/01/2014 12:00:00 AM,1177
11/02/2014 12:00:00 AM,1396
11/03/2014 12:00:00 AM,2952
11/04/2014 12:00:00 AM,2594
11/05/2014 12:00:00 AM,2482
11/06/2014 12:00:00 AM,2481
11/07/2014 12:00:00 AM,2287
11/08/2014 12:00:00 AM,1240
11/09/2014 12:00:00 AM,1323
11/10/2014 12:00:00 AM,2579
11/11/2014 12:00:00 AM,2007
11/12/2014 12:00:00 AM,2226
11/13/2014 12:00:00 AM,2328
11/14/2014 12:00:00 AM,2330
11/15/2014 12:00:00 AM,1212
11/16/2014 12:00:00 AM,1337
11/17/2014 12:00:00 AM,3004
11/18/2014 12:00:00 AM,2455
11/19/2014 12:00:00 AM,2447
11/20/2014 12:00:00 AM,2617
11/21/2014 12:00:00 AM,2344
11/22/2014 12:00:00 AM,1261
11/23/2014 12:00:00 AM,1180
11/24/2014 12:00:00 AM,2639
11/25/2014 12:00:00 AM,2269
11/26/2014 12:00:00 AM,1711
11/27/2014 12:00:00 AM,550
11/28/2014 12:00:00 AM,1327
11/29/2014 12:00:00 AM,1111
11/30/2014 12:00:00 AM,1497
12/01/2014 12:00:00 AM,3002
12/02/2014 12:00:00 AM,2567
12/03/2014 12:00:00 AM,2404
12/04/2014 12:00:00 AM,2257
12/05/2014 12:00:00 AM,2185
12/06/2014 12:00:00 AM,1073
12/07/2014 12:00:00 AM,1122
12/08/2014 12:00:00 AM,2481
12/09/2014 12:00:00 AM,2016
12/10/2014 12:00:00 AM,2110
12/11/2014 12:00:00 AM,2127
12/12/2014 12:00:00 AM,1992
12/13/2014 12:00:00 AM,1100
12/14/2014 12:00:00 AM,1152
12/15/2014 12:00:00 AM,2564
12/16/2014 12:00:00 AM,2291
12/17/2014 12:00:00 AM,2229
12/18/2014 12:00:00 AM,2212
12/19/2014 12:00:00 AM,2014
12/20/2014 12:00:00 AM,1145
12/21/2014 12:00:00 AM,1000
12/22/2014 12:00:00 AM,2066
12/23/2014 12:00:00 AM,1925
12/24/2014 12:00:00 AM,1131
12/25/2014 12:00:00 AM,453
12/26/2014 12:00:00 AM,1405
12/27/2014 12:00:00 AM,998
12/28/2014 12:00:00 AM,985
12/29/2014 12:00:00 AM,2454
12/30/2014 12:00:00 AM,2306
12/31/2014 12:00:00 AM,1727
,736419
